komentarClean,cluster,prediksi_sentimen
alyakiwww kabar jalan yng jln tanjakan turun tanah merah bungkusmile johor haeduuu,1,negative
jir jalan blumbang arah pabrik gula,1,negative
njir rumah sekolah jalan kolam lele,1,negative
jalan becek kalimantan tdklah buruk,1,negative
salam jalan rusak wirata agung,1,negative
jalan tol nomor perbaiki jalan kampung,1,negative
lampung bos ternak lele jalan,1,negative
jalan bratasena penyebrangan mi huhhh gemes,1,negative
lampung jalan emng kalidadi kalirejo sendang jalanya susah lampung heran,1,negative
kalok dente situ jalan an,1,negative
emng semenjak jalan rumbia,1,negative
penyembuhan jalan jalanterus jalanya stres,1,negative
ampun obat jalan kota hancur pendalaman,1,negative
arah jalan kubu tolong donk diperbaiki gubernur syamsuargubri hamil kesini takut brojol duluan gara jalan hjn,1,negative
sad jalan kubu hancur,1,negative
beli mobil listrik elit perbaiki jalan sulit,1,negative
syamsuargubri kendaraan elit jalan sulit,1,negative
lupa kondisi jalan,1,negative
jalan tol jalan riau,1,negative
yok ramai jalan riua tingkat prov n kab bangun,1,negative
jalan daerah jalan kota arah bandara sudirman bagus ujung sudirman hancur,1,negative
senggolnya jalan berlumpur,1,negative
x riau parah x jalan,1,negative
mobil elitperbaikan jalan suli,1,negative
bangun jalan tanjung medan bagan batu,1,negative
gasalah la bagus jalan km ytty,1,negative
hancur jalan riau,1,negative
jalan petapahan kasikan spill bossque,1,negative
harap jalan riau perbaiki masgibranrakabuming jalan riau amatt rusak berharap,1,negative
jalan bangau sakti panam dibenerin,1,negative
jalan ibukota provinsi hancur kota,1,negative
jalan siak bagus,1,negative
merata jalan rusak riau,1,negative
wkwkw gas lhbeli mobil listrik elitperbaiki jalan sulit,1,negative
jalan riau parah,1,negative
sekda dipanggil kpk kompromi bupati jalan riau mulus muncul bima riau didngr,1,negative
jalan kandis parah,1,negative
jalan riau hancur aspal aspal ditambal aspal setipis kulit bawang,1,negative
jalan kab siak bguss,1,negative
jalan pekanbarubyk jl rusak berlubang,1,negative
jngn la jalan rusak,1,negative
jalan kubu zaman umur bagus mulus lintas kabupaten,1,positive
riau bos jalan riau b berlobang berdebu berair,1,negative
uang boloin jalan tahan biat belik mobil listrik,1,negative
jalan donk mobil listrik daerah bagan api sma kubucuakkss,1,negative
yok sorot riau yok jalan masi mancing lele,1,negative
jalan masuk desa kepenuhan jaya beuh sedappp tenan,1,negative
jalan riau rusak perbaik uangnya beli mobil dinas,1,negative
jalan simpang tb full debuh jalan asapal mekangkang rawan kecelakaan,1,negative
riau minyak jalan wkwkw,1,negative
km arah kerinci jalan rusak berlubang lubangnya dalem kasihan mobil bawak muatan perbaiki,1,negative
jalan riau beginii heran lagii salam kuantan singingi,1,negative
kabupaten riau jalan hancur,1,negative
inhil rute pulau kijang kota jalan uuh mantul bosku sendiricuma era harto merasakan jalan berkualitas,1,negative
tanda masuk wilayah riau jalan berlubang,1,positive
pantesan jalan dikampungku goyang dumang penyebabnya,1,negative
riau suaranya ank riau fidiokan jalan buruknya perbaiki lampung,1,negative
gubernur jalan riau bnyk berlobang,1,negative
nahhh mantapppppbawa mobil elit jalan kesini bagus,1,negative
yukk viralin perbaikan jalan air molek,1,negative
minyak minyak jalan rusak,1,negative
mala jalan kerumahpake warna itam rumah abu abu,1,negative
co pigi daerah morowali utara liat sadiki jalan so parutan kelapa,1,negative
bupatinya tyakam cuman jalan lampu mati,1,negative
vidio jalan kota palu,1,negative
so brown sugar jalan leh,1,negative
jalan daerahnya so bagus,1,negative
parutan kelapa jalan provinsi lorong,1,negative
jalan masuk desaku badero depe maso,1,negative
jaringan jlk mati mati lampu jalan jelek,1,negative
mii jalan lampu jaringan joo sa pulkam senang hatiku,1,negative
bupati morowali utara so banggai kepulauan dp jalan babagitu,1,negative
theresia fransisca warga morut mari kumpul jalan lampu samaaa senggol donk,1,negative
jalan pt it tanggung pt tanggung pmeda,1,negative
wkwkw kong kse tunju jalan hindari lobang dapa lobang,1,negative
jalan trans provinsi kelola bos bupati,1,negative
maaf jalan desa jalan masuj daerah it urusan pemda biasany rusak pt it tanggung pt,1,negative
bkin pnya sulteng sigi bnyak jalan rusak perumnas tinggede beuhh,1,negative
jalan sigi aspal sepotong kadang ditambal,1,negative
jalan toli bambuan smpai pangi liat jaha seklai semntra proses jalanya,1,negative
jalan lintas kabupaten tugas gubernur,1,negative
benerharusnya wali kotakalo jalan provinsi bnyk keluhan lihat coment video,1,negative
bsa membahayangkan gacuma perumnas tinggede sigi jalan rusak,1,negative
sodaraa jalan so sawah,1,negative
jalan doi mesua masyaallah toya toya mobil,1,negative
jalan roviga rangah cek,1,negative
hahaha btull wakakak kyknya video jalan ba debu,1,negative
jalan tondo kiri bro,1,negative
jalan tinggede bemn,1,negative
jalan ba abu bru ba lobang,1,negative
macetdebu jalan rusak lengkap,1,negative
fyi jalan hirarkinya jalan tanggung pembangunan pemprov jlnnya jenis jalan kabupaten tanggung bupatinya,1,negative
jalan trans sulawesi coy rusak,1,negative
jalan trans sulawesi sulawesi,1,negative
daya jalan trans sulawesi toli toli tompe rencana pekerjaan akibat tsunami,1,negative
watusampu dikasi bae rusak jalan mobil kesana kemarii perusahaan,1,negative
jalan rovigaa hamil situ lahiran dijalan,1,negative
kau kab buol sulteng liat jalan lawan lawan lampung,1,negative
jalan trans sulawesi urusan pwmwrintah daerah pemerinta desa skola,1,negative
jalan urusan kades,1,negative
klw jalan trans bagus lebar,1,negative
iye kena aspal jalan rusak aspal,1,negative
pelajari jalan tanggung kota tanggung provinsi hadi akun ig,1,positive
jalan sigma kasih bagus,1,negative
jalan trans parigi moutong mampir perbaiki whwhwh,1,negative
sa pe kampung bae jalan,1,negative
jalan kulawi pipikoro bersilaturahmi kasana liat depe jalan,1,negative
kabar jalan polda selesai detik begitubegitu jalan,1,negative
co main jalan labonu arah tolitoli,1,negative
lalundu jalan hancur kyak lampung,1,negative
desa masuk sulawesi jalan ttp amcur prah in trmsuk jln traspor tasi kmpng kmpung lihat aj desa lalundu,1,negative
paluu mahh jalan baguss desanya kota raya,1,negative
jalan kemorowali utarabiar lihat lnsung jalannya,1,negative
jalan tinggede parah,1,negative
gempa so lma so dri lee bru bae jalan,1,negative
ba kaseh jalan urusan gubernur syg,1,negative
palu ksian cuman sis aljufri diksi bae jalan so,1,negative
nga foto kamari jalan ampna,1,negative
ksh tunjukk jalan transnya kaka,1,negative
lengkap commentnya pikir tdi jalan transtv,1,negative
jalan stq bagus diaspal ulang jalan rusak teada diaspal cuakks,1,negative
tabe kotanya desanya haga ngana b liat jalan rusak,1,negative
jalan perumnas tinggede,1,negative
kabupaten poso jalan rusak jaringan internet terbatas,1,negative
sigi zona merah bae jalan co petobo balaroa co,1,negative
jalan kotajalan desa,1,negative
besok sa rekamkan jalan provinsi morowali kaka,1,negative
iyoo t smo habis jabatan jalan perbaiki,1,negative
jalan jalan watusampu kaksss,1,negative
jalan lalundu liat jalan hancur,1,negative
liat jalan btn griya vatutela ee,1,negative
co lia kasana jalan desa paninggo kase bae,1,negative
jalan tinomba hama so brp aspal,1,negative
jalan kawatuna roviga tinggede jalan sausu masuk poso ggwp,1,negative
halahh it jalan loli so tanam jagung donggala somo tanam pisang blobang jalan,1,negative
huuu pakk jalan trans sulteng poso memprihatinkan,1,negative
torang trans pendolo dpe jalan rusakk,1,negative
jalan jalan bualemo,1,negative
desaku jo dluu nga liat jalan so,1,negative
jalan desa sulawesi toli toli aspal turun,1,negative
mo liat jalan jalur duanya parigi bemana akar pohon soo menjalar jalan,1,negative
tepatnya jln sulawesi kecamatan bualemo hahaee bkin sakit pinggang jalan situ,1,negative
plng kampung kena ranjau jalan diam ahh,1,negative
jalan desa berhak benerin,1,negative
jalan objek wisata mantantimali jalannya jalan ronto ate,1,negative
jalan parigi bru aspal,1,negative
bupati parigi moutong jalan kayuboko so b pancing,1,negative
kota palu coii pigi daerah sulteng dp jalan lebe soe lampung,1,negative
jalan bangkep aduh liat jalanya,1,negative
wkwkw liat desa nyaa jalan kolam,1,negative
jalan morowali utara,1,negative
jalan trans bajugan lobangnya sdikit,1,negative
pigi desa kota kebanyakan bagus depe jalan,1,negative
jalan jalan jalan kab ngakak maaf uang jalan kunjungi jalanjalan maksud leh,1,negative
jalan desa wakai liat jalannya tda bguss,1,negative
jalan penghubung bungku pesisirbahodopi,1,negative
spill jalan morowali nihh,1,negative
kecamatan gumbasa beh jalan mulus,1,negative
separah lampung depe jalan bmna,1,negative
tim suksesnya kah jalan tinggede so bole dihaga diperbaiki heddeh,1,negative
dikota jalan bagus co kedaerah daerahnya mn bgini,1,negative
jalan kabupaten bangkep bg,1,negative
klu jalan kota jalan lintas provinsi bagiaannya walikot klu jalan lintas kab provinsi urusannya gubernur,1,positive
bawa bahodopi aslinya liat depe jalan,1,negative
bnyak nihh bahaskalo desa jalan kepala desanya memanfaatkan bantuan pusat,1,negative
jalan morowali bangsekalian ajak gubernur,1,negative
jalan daerah sigi rusak btw,1,negative
jalan jalan garuda jalan kota salah akses bandara,1,negative
co pi lia jalan palu tolitoli,1,negative
jalan tagari lonjo baliase sma tinggede,1,negative
kasian co jalan kabupaten desa abu le,1,negative
liat jalan palolo,1,negative
eh jalan mushola uwentira so bagus ulg kah,1,negative
jalan desanya keren kota,1,positive
iyo kotanya co jalan jalan napu poso jedag jedug nggak,1,negative
yok yok jalan palu daerah sulteng spill sedkit jalannya,1,negative
bahadopj liat jalan trans sulawesi bolong,1,negative
milkqmildayry co jalan jalan panbar wkwkw murasakan enu ahahahahah,1,negative
co jalan jalan panbar wkwkw murasakan enu ahahahahah,1,negative
jalan jalan tolitoli,1,negative
info jalan roviga,1,negative
jj jalan jalan daerah lampung,1,negative
cmn palu sorot co jalan jalan morowali,1,negative
ibukota bos kmri ki sdkit toli masi jalan desanya memperhatinkan ap kampung kec dondo desa ogowele,1,negative
desa tetangga aspal cman desa aspalpadahal suda turun material pembuatan jalan tarik angkut kmbali,1,negative
cba jalan ketolai proyek aspal jalan belom kelar,1,negative
jalan balaeaang tanjung,1,negative
jalan purnawirawan donk,1,negative
jalanjalan wilayah pedesaan jalan trans sulawesi rusak statusnya jln propinsi,1,negative
gubernur disorot jalan garisnya kuning wkwkwkw kota,1,negative
bagus bagus jalan,1,negative
iye jalan ampana huuu bagus,1,negative
minimal jalan roviga,1,negative
ngakakk brutall co jalan tolitoli desa,1,negative
jalan kampung kabar,1,negative
lihat jalan desaku sulteng hancur,1,negative
jalan ki kec banawa desa tanampulu maumi tubuh jembatannya jalannya nauzubillah,1,negative
liat jalan ampibabolorong paregoabukan main bnyak pakudngn kawat durri jalantdk hilangakn,1,negative
jln pantai barat kabupaten donggala maen pe jalan,1,negative
jalan bagus kendalikan matahari,1,negative
jalan taripa tentena,1,negative
jalan morowali lampu mood moodtan menyala,1,negative
liat jalan lalundu,1,negative
jalan parut klpa,1,negative
skali jalan kenapu eh,1,negative
co jalan ampana sni spya bku lia jo jalan ba bintul,1,negative
cek jalan tombolotutu,1,negative
jalan toilii parahh bossssssss,1,negative
jalan pante timur lia kamari jln,1,negative
liat jalan dipante timur diperbaiki area kotaraya tinombala persatuan utara,1,positive
jalur kota wajar cek jalan kelalunduorang hamil keguguran jalannya,1,negative
minimal lampu jalan perbanyak ksian jlr stq situ,1,negative
pdrb terbesar pulau sulawesi cek jalan bahodopi lihat semrautnya kehidupan,1,negative
heran jalan lampung kota,1,negative
kota dpe jalan gagaco pedesaannapa jalan b lobang so koleb deng pece,1,negative
jalan purnawirawan aspalin,1,negative
morut jo jalan pedesaan jln sapu ba air pece jembatan com kayu jalan transportasi malinopeleru beuh,1,negative
jalan ki toli lembah bocor ban taro jalancry,1,negative
jalan penghubung daerah behhh mataps lobang plus glombang,1,negative
jalan jalan tinggede depe jalan bikin gugur kandungan terhitung dri abad brp,1,negative
kamri jalan morowali utaradari beteleme jalan perbatasan sulawesi sulawesi selatannn behhhh parut klpamaju mundur lobangpat,1,negative
ayok jalan le bahodopi jalan beuh,1,negative
jalan okelah tinggal dibagusin makassar tolnya mallnya,1,negative
liat buol le riki jalan kota ba lobang,1,negative
jalan dilobmg ditambal,1,negative
jalan ki kampung banjir hancur jalan anak sekolah masyarakat,1,positive
lia jalan buol desanya lobang,1,negative
nda urus jo jalan trans sulawesi pe jaha kota raya kwwkwk lawak cok pangi longsor jalan b gelombang jmbtn putus,1,negative
in mw hancur motor so lewar djlan situ pdahal jalan trans,1,negative
kau pigi liat jalan tinggede,1,negative
jalan ditinggede perhatikan,1,negative
jalan desa aspal senggol,1,negative
jalan jalan ki lalundu,1,negative
kotasaja kampung kaget jalan rmh suami parutan kelapa,1,negative
jalan jalan sigi lubang lubang dijalan bekas likuifaksi jono oge perbaiki didesa lolu,1,negative
kota ng maso desa desa ng makan jalan so bulu kodo hambur deng ba pece,1,negative
jalan toli toli buol ancuuurrr,1,negative
jalan jalan petobo,1,negative
bilang situ tda jalan detik pertigaan napu tda bagus jalan kulawi,1,negative
dp gigi mo senggol jalan luwuk ancor cm jln dpn rmhnya sj aspal,1,negative
lucucoba kau cek jalan roviga hahaha lahir jalannya rupa jln offroad hahaha,1,negative
siniko jalan jalan unaahaabuki nd usus turun,1,negative
jalan kabsigi lubangnya,1,negative
jalan kac balaesang tanjung bru liat motor pikul orng bru jalan,1,negative
spill jalan desa,1,negative
sulteng bnyk jalan rusak ba lobang ba gelombang aspal rupa ombak laut,1,negative
jln pantai barat balaesang tanjung gaga skli jalan salah b jalan t seleding motor,1,negative
sound adu jalan videonya adu kota,1,negative
jalan lalunduu dp jalan kolam,1,negative
banggai kepulawan jalan rusak banyk korban jatuh kendaraan kota makasih,1,negative
jalan winong gabus ngremuk motor bolo,1,negative
jalan tanjunganom kearah winong,1,negative
wahhhh dalane mbedino lewati marai emosi jalan gabuswinong kerja diwinong jln ditambal sulam,1,negative
pantura jalan bendar batangan rung rampungmbakk,1,negative
blum jalan sukolilo prawoto,1,negative
jalan gabus winong dikenal jalan dzikrullah pemerintah sengaja tekstur rakyat istighfar,1,positive
jalan minto basuki,1,negative
negeri jalan mgkn bawa ole dolar ajha ngagak peraturan,1,negative
bahasa uang jalan negeri brokakakakakak,1,negative
viralin jalan ninja,1,negative
bc cari jalan pelicin,1,negative
mmg hrs jurus terakhirviral jalan,1,negative
system birokrasi negeri inu jalan,1,negative
bnrkrn ndampingig byr pndamping nyambi cari jalan pintas nasib pndidikan,1,negative
kesiapan aspek nol bagus rancangannyatp sdmnya dipersiapkanyg adasmua ngejar jalan pintasya dg kisi ujian,1,negative
pingin dokter anakku jalan mencapainya amin,1,negative
hidup jalan berduri paksa berjalan,1,negative
buku jalan pembeliannya pakai kagak bayar buku ulangan sekolah zaman,1,negative
bayar motor aman belanja nyaman timbang pulang jalan kaki laporan polisi rumit ruwet hilang,1,negative
berhenti jalan toko jgpripitan langsung bunyiinpadahal rehatcek hp,1,negative
jukir atm atm pinggiran jalan,1,negative
klw cumn himbauwan anak tk bisalo teori turun jalan,1,negative
buktikan jalan kedungsari kec tegalsari indomart,1,negative
cak ayo turun jalan mobil sepeda motor dikawal kondisi surabaya nggak dikantor cak,1,negative
apane bosdi jalan banyuurip alfamart indomaret jukir liarnyamau masuk alfamartindomaret malessoalnya kena pajek,1,negative
jalan kaki alfa naek mobil,1,negative
alfa mart indomart jalan dukuh setro biarkan liar lurahnya nyantai pol pp tindakkkk,1,negative
ama jukir liar tanah pajak pbb bayareh main pungut duitnya jukir in street sisi jalan,1,negative
ksh uang arahkan kawal jalan raya jaga arah aman,1,positive
jalan bronggalan karang asem jukir liar alfa indomaret mohon ditindak gara gara uang indomaret sepi,1,negative
ttp fungsinya kondisi jalan sempit rame tandai cuekin taunya bunyi tabrak mobil,1,negative
armuji mhn info jalan oerr warga semanggi kesulitan akses masuk trima kasih,1,negative
halaman mini marketharusnya gratismungkin bahu jalan,1,negative
minggu was sekitaran surabaya gangster jalan waspada malam,1,positive
kalocnga kasi mulut jalan,1,negative
indomaret jepanjang jalan kedungsari tukang parkirnya maksa,1,negative
izin mini market bilang gpp jalan kaki,1,negative
ayo jalan kaki ratarata rumahnya,1,negative
mohon bantu pakdi area jalan kedung cowek alfa indomart,1,negative
kesel bayar dikawal nyebrang jalan langsung ditinggal,1,negative
pencitraan urusan jalan aturan,1,negative
jalan demak puluhan sisi arah jalan tembok dukuh titik,1,negative
indomart alfamidi jalan endrosono wonosari surabaya utara ji,1,negative
pasar keputran karuan jualan jalan raya pulang kerja macet tertibnya kunjungan pejabat,1,negative
minimarket skitar jalan demak jalan rembang,1,negative
walikota malang turun jalan pemkotmalang malangkotaparkir,1,negative
mini market jalan kenjeran,1,negative
jalan manukan minimarket toko sekitaran jalan manukan,1,negative
cak taman seng ngisor suramdu diurus seh elek gatau diberseni jalan taman yo rusak kabeh,1,negative
selamat pagi yth armuji ijin melaporkan jalan berlubangrusak jemursari arah rungkut ayani terima kasih,1,positive
armuji daerah tembok dukuh jalan tidar jukirnyaa kasih marah kadang,1,negative
jalan semarang stasiun pasar turi tanda larangannya monggo,1,positive
dipinggir jalan mobil ditariki gpp sepeda motor meresahkan wkwkk,1,negative
jalan kenjeran kapas madya setro armuji silahkan disidak,1,negative
indoalfa jukir liar pelosok sby jalan pinggir jalan malak,1,negative
surabaya utara jalan wonokusumo,1,negative
jalan demak sak arat jukir liare,1,negative
nang kawasan jalan raya ngagel rejo kidul barata jaya mayoritas akeh jukir liar njogo meksiko,1,negative
rompi jukir langsung tindak jalan lahan dy mayoritas madura jukir,1,negative
sby timur bosskuh jalan mulyosari,1,negative
mohon maaf lahan parkirnya mengganggu jalan utama gratis,1,negative
jalan raya demak berani ditertibkan madura titik alfamart indomret alfamidi lokasi berdekatan semuasidak,1,negative
jalan putro agung jual buah pinggir jalan jukir liarnya nauzubillah beli buah menit turun mobil ditarik,1,negative
cba cek lintasan jalan kereta api royal plaza besi berlubang membahayakan korban barusan,1,negative
atm center warung pinggir jalan temen buka angkringan tbtb jukir liarkatanya pegang daerah,1,negative
surabaya timur tepatnya indomaret semampir deket jalan merr,1,negative
minimarket pinggir jalan,1,negative
alfa indomaret alfa midi pinggir jalan raya jukir liarnya,1,negative
indomart alfamart jalan kenjeran arah kenpark noh jukir uakeh,1,negative
maaf pakdi jalan balongsarijalan manukanjalan lontardan disetiap minimarket area surabaya jukir liarmohon ditindak,1,negative
lupa polisi cepek cak kadang suka nutup jalan putar aba jalan ambil posisi ngeri ketabrak cak,1,positive
minimarket armuji jalan demak cafe minimarket atm tmpt jamu tmpt makan bhkn apotek tukang parkirnya,1,negative
jalan banyuurip arah margomulyo mikir indomaret jln pogot,1,negative
jalan dipo cak est est,1,negative
mobil gppa menurutku bantuin ngeluarin jalan crash kalomotor,1,negative
pengen ngaspal ulang jalan raya jemursari menur numpak motor kono koyok numpak jaran,1,negative
alfamidi jalan menur portal perumahan manyar indah,1,negative
daerah rembang jalan jepara minimarket,1,negative
membantu membuka jalan rodo rame ttp kasih nyantai yo wegah takei,1,positive
buka jalan alfamart indomaret jalanya arah,1,negative
kmrin beli buah pinggir jalan putro agung tukang parkirnya,1,negative
jukir disepanjang mini market jalan demak surabaya meresahkan,1,neutral
indomart spanjang jalan nginden semolo spt spt ter organisir,1,negative
bali ubud pecatu daerah single fin jalan mamo canggu,1,negative
kloq kayaq bali aman ndk brani jalan kepulau bali,1,negative
aman jalan skitar meter sopir online titik penjemputan online dmn,1,negative
terminal pesan ojek online abang ojolnya jalan enak ojek pangkalan,1,negative
buenerr jalan meter nunggu ojek,1,negative
teman dipaksa angkutan didorong masuk angkutannya niatnya jalan kaki,1,negative
bali taman safari jalan smpe lmpu merah,1,negative
kepalanya masuk tutup kacanya bwa jalan mobilnya,1,negative
dizona ojek taksi ofline pesen online turun kreta jalan kaki pesen,1,negative
takut jalan baliaturan darimana,1,negative
bangun jalan raya polda polda,1,negative
kena batamdia bilang bandara ikutin aturannyaaku jalan bandara,1,negative
sebenernya bali sikalau pangkalan ojek jalan menjauh pesen ojol,1,negative
kmaren bali sanursy ojek onlinetapigak pelabuhan langsungtapi jalan jalan rayayg pangkalan,1,negative
jalan jalan negeri ajalah klu bgtz miralin takut kena undang undang,1,negative
takut mahu bali layak bru rencana nk jalan cari ketenanganhu rehat,1,negative
menjauh hotel mesen mobil online jalan kaki dikit mesen,1,negative
ngeri jalan jalan kebali,1,negative
alah bandara jambi taksi bandara parah ampe mesan daraaan online kota jalan dri bandara,1,negative
bandung prnh online terminal bus bandung mobilnya deket area nunggu jalan takut dipalak,1,negative
tempatku pakai radiuss ojol jalan kaki batas radius,1,negative
